,MSA,Notes,Quarter,Rate,Year,period
0,"Akron, OH ",,1,68.6,2015,2015-01-01 00:00:00
1,"Albany-Schenectady-Troy, NY ",,1,65.9,2015,2015-01-01 00:00:00
2,"Alburquerque, NM",,1,63.8,2015,2015-01-01 00:00:00
3,"Allentown-Bethlehem-Easton, PA-NJ",,1,69.2,2015,2015-01-01 00:00:00
4,"Atlanta-Sandy Springs-Roswell, GA",**,1,60.5,2015,2015-01-01 00:00:00
5,"Austin-Round Rock, TX",,1,57.5,2015,2015-01-01 00:00:00
6,"Baltimore-Columbia-Towson, MD",*,1,62.0,2015,2015-01-01 00:00:00
7,"Baton Rouge, LA",,1,62.7,2015,2015-01-01 00:00:00
8,"Birmingham-Hoover, AL",,1,68.7,2015,2015-01-01 00:00:00
9,"Boston-Cambridge-Newton, MA-NH",*,1,60.5,2015,2015-01-01 00:00:00
10,"Bridgeport-Stamford-Norwalk, CT",,1,68.4,2015,2015-01-01 00:00:00
11,"Buffalo-Cheektowaga-Niagra Falls, NY",*,1,61.5,2015,2015-01-01 00:00:00
12,"Cape Coral-Fort Myers, FL",,1,67.6,2015,2015-01-01 00:00:00
13,"Charleston-North Charleston-Summerville, SC",,1,63.6,2015,2015-01-01 00:00:00
14,"Charlotte-Concord-Gastonia, NC-SC",**,1,6.3,2015,2015-01-01 00:00:00
15,"Chicago-Naperville-Elgin, IL-IN-WI",**,1,64.4,2015,2015-01-01 00:00:00
16,"Cincinnati, OH-KY-IN",**,1,68.3,2015,2015-01-01 00:00:00
17,"Cleveland-Elyria, OH",**,1,68.9,2015,2015-01-01 00:00:00
18,"Columbia, SC",,1,64.6,2015,2015-01-01 00:00:00
19,"Columbus, OH",**,1,56.6,2015,2015-01-01 00:00:00
20,Dallas-Ft,**,1,56.5,2015,2015-01-01 00:00:00
21,"Dayton, OH",**,1,61.8,2015,2015-01-01 00:00:00
22,"Denver-Aurora-Lakewood, CO",*,1,5.5,2015,2015-01-01 00:00:00
23,"Detroit-Warren-Dearborn, MI",*,1,74.6,2015,2015-01-01 00:00:00
24,"Fresno, CA",,1,54.5,2015,2015-01-01 00:00:00
25,"Grand Rapids-Wyoming, MI",**,1,75.5,2015,2015-01-01 00:00:00
26,"Greensboro-High Point, NC",,1,66.3,2015,2015-01-01 00:00:00
27,"Hartford-West Hartford-East Hartford, CT",,1,6.3,2015,2015-01-01 00:00:00
28,"Houston-The Woodlands-Sugar Land, TX",**,1,57.7,2015,2015-01-01 00:00:00
29,"Indianapolis-Carmel-Anderson, IN",**,1,66.4,2015,2015-01-01 00:00:00
30,"Jacksonville, FL",,1,6.5,2015,2015-01-01 00:00:00
31,"Kansas City, MO-KS",**,1,64.6,2015,2015-01-01 00:00:00
32,"Knoxville, TN",,1,77.6,2015,2015-01-01 00:00:00
33,"Las Vegas-Henderson-Paradise, NV",*,1,50.3,2015,2015-01-01 00:00:00
34,"Little Rock-North Little Rock-Conway, AR",,1,71.9,2015,2015-01-01 00:00:00
35,"Los Angeles-Long Beach-Anaheim, CA",*,1,50.2,2015,2015-01-01 00:00:00
36,"Louisville/Jefferson County, KY-IN",**,1,58.5,2015,2015-01-01 00:00:00
37,"Memphis, TN-AR-MS",**,1,55.4,2015,2015-01-01 00:00:00
38,"Miami-Fort Lauderdale-West Palm Beach, FL",*,1,57.4,2015,2015-01-01 00:00:00
39,"Milwaukee-Waukesha-West Allis, WI",,1,58.4,2015,2015-01-01 00:00:00
40,Minneapolis-St,**,1,70.8,2015,2015-01-01 00:00:00
41,"Nashville-Davidson-Murfreesboro-Franklin, TN",**,1,74.5,2015,2015-01-01 00:00:00
42,"New Haven-Milford, CT",,1,63.2,2015,2015-01-01 00:00:00
43,"New Orleans-Metairie, LA",**,1,69.2,2015,2015-01-01 00:00:00
44,"New York-Newark-Jersey City, NY-NJ-PA",**,1,49.4,2015,2015-01-01 00:00:00
45,"North Port-Bradenton-Sarasota, FL",,1,73.4,2015,2015-01-01 00:00:00
46,"Oklahoma City, OK",,1,60.8,2015,2015-01-01 00:00:00
47,"Omaha-Council Bluffs, NE-IA",,1,70.9,2015,2015-01-01 00:00:00
48,"Orlando, Kissimmee-Sanford, FL",*,1,59.9,2015,2015-01-01 00:00:00
49,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,1,67.7,2015,2015-01-01 00:00:00
50,"Phoenix-Mesa-Scottsdale, AZ",,1,61.8,2015,2015-01-01 00:00:00
51,"Pittsburgh, PA",,1,73.1,2015,2015-01-01 00:00:00
52,"Portland-Vancouver-Hillsboro, OR-WA",,1,59.4,2015,2015-01-01 00:00:00
53,"Providence-Warwick, RI-MA",*,1,61.1,2015,2015-01-01 00:00:00
54,"Raleigh, NC",*,1,71.5,2015,2015-01-01 00:00:00
55,"Richmond, VA",**,1,66.3,2015,2015-01-01 00:00:00
56,"Riverside-San Bernardino-Ontario, CA",*,1,58.9,2015,2015-01-01 00:00:00
57,"Rochester, NY",**,1,61.2,2015,2015-01-01 00:00:00
58,"Sacramento-Roseville-Arden-Arcade, CA",,1,60.5,2015,2015-01-01 00:00:00
59,St Louis,**,1,67.4,2015,2015-01-01 00:00:00
60,"Salt Lake City, UT",**,1,72.4,2015,2015-01-01 00:00:00
61,"San Antonio-New Braunfels, TX",*,1,6.5,2015,2015-01-01 00:00:00
62,"San Diego-Carlsbad, CA",*,1,53.1,2015,2015-01-01 00:00:00
63,"San Francisco-Oakland-Hayward, CA",*,1,52.5,2015,2015-01-01 00:00:00
64,"San Jose-Sunnyvale-Santa Clara, CA",,1,5.8,2015,2015-01-01 00:00:00
65,"Seattle-Tacoma-Bellevue, WA",*,1,6.0,2015,2015-01-01 00:00:00
66,"Syracuse, NY",,1,63.6,2015,2015-01-01 00:00:00
67,Tampa-St,,1,66.6,2015,2015-01-01 00:00:00
68,"Toledo, OH",**,1,64.2,2015,2015-01-01 00:00:00
69,"Tucson, AZ ",,1,62.2,2015,2015-01-01 00:00:00
70,"Tulsa, OK",,1,67.2,2015,2015-01-01 00:00:00
71,"Urban Honolulu, HI",,1,60.2,2015,2015-01-01 00:00:00
72,"Virginia Beach-Norfolk-Newport News, VA-NC",**,1,59.5,2015,2015-01-01 00:00:00
73,"Washington-Arlington-Alexandria, DC-VA-MD-WV",**,1,64.2,2015,2015-01-01 00:00:00
74,"Worcester, MA",**,1,68.9,2015,2015-01-01 00:00:00
